,KSE100,Nestle_PK,Abbott_PK,Lucky_Cement,HBL_Bank,Dollar Rate,Petrol Price,New Car,Foreign Tour,Actual_Inflation_Rate
2021-07-01,47571.70703125,4750.283824573864,708.1723660555753,879.3547391024503,83.86863951249556,14.0,3.0,2.0,0.0,8.4
2021-08-01,47441.53824013158,4727.983287464489,702.228066184304,839.6302573464134,84.19481589577414,16.0,2.0,2.0,0.0,8.4
2021-09-01,46543.3974609375,4866.250088778409,720.6891534978694,747.8586287064986,77.52324641834606,19.0,3.0,2.0,0.0,9.0
2021-10-01,46543.3974609375,4791.452032180059,722.8072190057663,678.0600149972098,78.84154728480748,23.0,12.0,2.0,0.0,9.2
2021-11-01,46543.3974609375,4737.221124822443,709.5219282670455,730.753212668679,83.63453535600142,25.0,10.0,2.0,0.0,11.5
2021-12-01,46543.3974609375,4541.18556810462,671.2724768597146,657.4852825662364,79.97981063179348,20.0,4.0,2.0,0.0,12.3
2022-01-01,46543.3974609375,4598.535830543155,690.1152895972842,670.1722005208334,81.21236238025483,18.0,3.0,2.0,0.0,13.0
2022-02-01,46543.3974609375,4679.5615234375,672.5907928466797,662.5682495117187,81.94834976196289,17.0,10.0,2.0,0.0,12.2
2022-03-01,46543.3974609375,4611.994034476902,653.392941682235,583.4882069463315,76.9096739395805,19.0,5.0,2.0,0.0,12.7
2022-04-01,46543.3974609375,4787.142345610119,655.9159051804315,584.0897333054315,77.88676234654018,41.0,8.0,2.0,0.0,13.4
2022-05-01,46543.3974609375,4889.850719105114,633.9852849786931,502.58404541015625,74.31191531094638,49.0,9.0,2.0,0.0,13.8
2022-06-01,46543.3974609375,4901.617032137784,635.6503684303977,447.0107505104759,68.29498880559748,53.0,34.0,2.0,0.0,21.3
2022-07-01,46543.3974609375,4972.947219122024,622.2915445963541,423.85447765531995,63.956883566720144,70.0,19.0,2.0,0.0,24.9
2022-08-01,46543.3974609375,5234.999639096467,597.26281472911,471.81905066448707,66.63872511490531,100.0,19.0,2.0,0.0,27.3
2022-09-01,46543.3974609375,4955.270885120739,578.8725696910511,494.8508508855646,61.157122351906516,68.0,10.0,2.0,0.0,23.2
2022-10-01,46543.3974609375,5118.911830357143,575.7413475399926,497.52950759161087,51.57234046572731,77.0,12.0,2.0,0.0,26.6
2022-11-01,46543.3974609375,5090.497381036932,555.4385431463069,475.96763749556106,50.8045843297785,36.0,4.0,2.0,0.0,23.8
2022-12-01,46543.3974609375,4889.733220880682,485.82993108575994,436.90715581720525,48.22656041925604,30.0,8.0,2.0,0.0,24.5
2023-01-01,46543.3974609375,4814.790261008523,391.3620425137606,406.0305744517933,48.410012158480555,48.0,14.0,3.0,0.0,27.5
2023-02-01,46543.3974609375,4712.868408203125,395.27875366210935,407.6072113037109,55.60776424407959,70.0,20.0,2.0,0.0,31.5
2023-03-01,46543.3974609375,4604.419603430707,395.9506132706352,403.1402906334919,55.37913994167162,63.0,9.0,1.0,0.0,35.4
2023-04-01,46543.3974609375,4681.167700195312,396.32205963134766,393.09556274414064,56.41002140045166,49.0,11.0,2.0,0.0,36.4
2023-05-01,46543.3974609375,5566.40480638587,391.8048201851223,459.33512148649794,57.10736913266389,53.0,14.0,2.0,0.0,38.0
2023-06-01,46543.3974609375,5987.09306196733,377.667123967951,505.9830044833097,54.409549019553445,48.0,13.0,1.0,0.0,29.4
2023-07-01,46543.3974609375,6119.640671502976,400.0107232956659,563.2606259300595,62.53062275477818,53.0,8.0,2.0,0.0,28.3
2023-08-01,46543.3974609375,6620.917650305707,390.37550287661344,591.6538935122283,79.31592692499575,48.0,20.0,2.0,0.0,27.4
2023-09-01,46543.3974609375,6572.218354724702,348.9965442475818,539.8252447219122,75.20868428548177,94.0,21.0,1.0,0.0,31.4
2023-10-01,46543.3974609375,6692.002485795455,369.2931698885831,587.3450123180043,75.47341988303445,88.0,32.0,1.0,0.0,26.9
2023-11-01,46543.3974609375,7533.787642045455,426.82048866965556,705.43911188299,80.16122401844372,51.0,16.0,1.0,0.0,29.2
2023-12-01,46543.3974609375,7810.49609375,467.45262218656995,780.5850306919643,95.36457970028832,33.0,14.0,2.0,0.0,29.7
2024-01-01,46543.3974609375,7718.042735224185,435.750940737517,759.9978664232337,93.45056417713995,25.0,11.0,2.0,0.0,28.3
2024-02-01,46543.3974609375,7530.490161132812,440.09351654052733,723.4764099121094,90.6649154663086,16.0,11.0,1.0,0.0,23.1
2024-03-01,46543.3974609375,7143.8787841796875,454.5372009277344,750.6920196533204,91.08283729553223,15.0,8.0,1.0,0.0,20.7
2024-04-01,46543.3974609375,7135.404711914062,527.8998819986979,800.2995334201389,94.71518792046442,14.0,7.0,1.0,0.0,17.3
2024-05-01,46543.3974609375,6908.220370205966,646.4431845925071,863.4445856267756,95.47445539994673,13.0,10.0,2.0,0.0,11.8
2024-06-01,46543.3974609375,6681.078383501838,693.4783145680148,902.4220437442555,96.59800989487591,10.0,11.0,1.0,0.0,12.6
2024-07-01,46543.3974609375,6593.596403702446,760.1788250467051,900.7123598845109,116.7327711685844,10.0,6.0,1.0,0.0,11.1
2024-08-01,46543.3974609375,6563.608258928572,731.7798490978423,845.5471423921131,112.05251711890811,9.0,5.0,1.0,0.0,9.6
2024-09-01,46543.3974609375,6626.249395461309,753.3903256370908,855.5304943266369,105.10744912283761,9.0,7.0,1.0,0.0,6.9
2024-10-01,46543.3974609375,6462.535198709239,808.7553631326426,874.0280708644701,117.56380595331606,8.0,6.0,1.0,0.0,7.2
2024-11-01,46543.3974609375,6329.872860863095,977.2849557059152,999.0766281854538,125.2886210850307,8.0,4.0,1.0,0.0,6.8
2024-12-01,46543.3974609375,6898.00185546875,1162.9892150878907,1125.5089111328125,147.5726745605469,7.0,3.0,1.0,0.0,6.5
